Dato,Spiller,Navn på kølle,Merke/modell,Type golfkølle,Køllehast.,Angrepsvinkel,Køllebane,Oversiden av køllen,Kølleflate i forhold til bane,Ballhastighet,Slagfaktor,Slagvinkel,Slagretning,Underskru,Sideskru,Skruhastighet,Spinnhastighetstype,Skruakse,Toppunktshøyde,Carry-distanse,Vinkel på feilmarginen på distansen,Avstand på feilmargin på distansen,Total avstand,Total avviksvinkel,Total avviksavstand,Notat,Merke,Lufttetthet,Temperatur,Lufttrykk,Relativ luftfuktighet,Baksvingtid,Nedsvingtid,Svingtempo
,,,,,[km/t],[deg],[deg],[deg],[deg],[km/t],,[deg],[deg],[opm],[opm],[opm],,[deg],[m],[m],[deg],[m],[m],[deg],[m],,,[g/L],[deg C],[kPa],[%],[sek],[sek],
25.08.2025 18:11:16,Øystein,,,6 Jern,0.0,0.0,0.0,14.07,14.07,121.53589672880214,,16.09000015258789,11.5600004196167,5301.3603515625,-5520.48681640625,7653.77001953125,Målt,46.15999984741211,6.329999923706055,65.13999938964844,23.260000228881836,25.729999542236328,83.63999938964844,26.309999465942383,37.06999969482422,,,1.1784348,22.0,100.34,50,,,0.0
25.08.2025 18:11:28,Øystein,,,6 Jern,0.0,0.0,0.0,2.85,2.85,149.47188207044354,,11.3100004196167,2.3399999141693115,4278.2001953125,-1748.5145263671875,4621.72021484375,Målt,22.229999542236328,7.579999923706055,96.30999755859375,8.880000114440918,14.869999885559082,125.22000122070312,10.390000343322754,22.56999969482422,,,1.1784348,22.0,100.34,50,,,0.0
25.08.2025 18:11:52,Øystein,,,6 Jern,0.0,0.0,0.0,6.13,6.13,152.17187991044528,,18.09000015258789,5.03000020980835,5701.45703125,-1488.3065185546875,5892.509765625,Målt,14.630000114440918,16.469999313354492,111.23999786376953,11.300000190734863,21.790000915527344,120.48999786376953,11.680000305175781,24.389999389648438,,,1.1784348,22.0,100.34,50,,,0.0
25.08.2025 18:12:08,Øystein,,,6 Jern,0.0,0.0,0.0,10.72,10.72,135.32389229020256,,14.289999961853027,8.800000190734863,4045.636962890625,-2624.256591796875,4822.22998046875,Målt,32.970001220703125,7.360000133514404,82.13999938964844,17.6299991607666,24.8799991607666,106.38999938964844,19.639999389648438,35.75,,,1.1784348,22.0,100.34,50,,,0.0
25.08.2025 18:12:21,Øystein,,,6 Jern,0.0,0.0,0.0,9.53,9.53,152.3878846814891,,23.610000610351562,7.829999923706055,6233.53515625,-1780.3748779296875,6482.7998046875,Målt,15.9399995803833,22.65999984741211,111.61000061035156,15.770000457763672,30.329999923706055,117.94000244140625,16.020000457763672,32.54999923706055,,,1.1784348,22.0,100.34,50,,,0.0
25.08.2025 18:12:39,Øystein,,,6 Jern,0.0,0.0,0.0,3.31,3.31,135.75588809939106,,20.34000015258789,2.7200000286102295,2245.761962890625,405.29034423828125,2282.0400390625,Målt,-10.229999542236328,12.369999885559082,99.37000274658203,0.46000000834465027,0.800000011920929,116.0999984741211,0.11999999731779099,0.23000000417232513,,,1.1784348,22.0,100.34,50,,,0.0
25.08.2025 18:13:44,Øystein,,,5-Hybrid,122.86790170567863,-1.66,1.94,5.15,3.2100000000000004,169.09186912103593,1.3762086498887525,14.489999771118164,4.480000019073486,4912.85888671875,-1423.5987548828125,5114.9599609375,Målt,16.15999984741211,16.040000915527344,127.77999877929688,11.369999885559082,25.190000534057617,140.10000610351562,11.890000343322754,28.8700008392334,,,1.1784348,22.0,100.34,50,,,0.0
25.08.2025 18:13:58,Øystein,,,5-Hybrid,129.0958967232826,-0.42,-0.21,8.27,8.48,147.02388293021005,1.1388734007972083,17.200000762939453,6.769999980926514,5512.5634765625,-4923.60888671875,7391.22998046875,Målt,41.77000045776367,11.75,94.16000366210938,21.709999084472656,34.83000183105469,102.97000122070312,23.049999237060547,40.31999969482422,,,1.1784348,22.0,100.34,50,,,0.0
25.08.2025 18:14:11,Øystein,,,5-Hybrid,121.78790256967793,-1.4,-1.23,6.7,7.93,155.19587804056317,1.2743127582131708,20.260000228881836,5.349999904632568,3764.9453125,-999.663818359375,3895.39990234375,Målt,14.869999885559082,18.450000762939453,120.44999694824219,11.0600004196167,23.110000610351562,133.2899932861328,11.5,26.56999969482422,,,1.1784348,22.0,100.34,50,,,0.0
25.08.2025 18:14:23,Øystein,,,5-Hybrid,129.05989675208258,-0.97,-1.26,5.46,6.72,174.27586002999556,1.3503486707785803,15.8100004196167,4.329999923706055,3672.889892578125,92.32923126220703,3674.050048828125,Målt,-1.440000057220459,18.43000030517578,141.17999267578125,4.039999961853027,9.949999809265137,155.82000732421875,3.9600000381469727,10.760000228881836,,,1.1784348,22.0,100.34,50,,,0.0
25.08.2025 18:14:35,Øystein,,,5-Hybrid,134.42389246088604,-2.28,1.09,-0.1,-1.1900000000000002,183.27585283000133,1.3634172428337468,2.700000047683716,0.05000000074505806,3937.73681640625,-1461.302734375,4200.14013671875,Målt,20.360000610351562,2.5399999618530273,99.37000274658203,5.190000057220459,8.989999771118164,146.3699951171875,6.949999809265137,17.709999084472656,,,1.1784348,22.0,100.34,50,,,0.0
25.08.2025 18:14:45,Øystein,,,5-Hybrid,127.83589773128179,-1.37,-1.63,6.11,7.74,170.27986102952914,1.332019128050142,18.59000015258789,4.820000171661377,3960.4892578125,-615.9476318359375,4008.10009765625,Målt,8.84000015258789,21.290000915527344,137.4499969482422,8.739999771118164,20.889999389648438,150.1699981689453,8.970000267028809,23.420000076293945,,,1.1784348,22.0,100.34,50,,,0.0
25.08.2025 18:14:59,Øystein,,,5-Hybrid,126.07189914248069,-1.21,-1.31,10.19,11.5,147.92388221021062,1.1733295303423155,19.84000015258789,8.199999809265137,2445.593994140625,-425.9448547363281,2482.409912109375,Målt,9.880000114440918,14.789999961853027,114.45999908447266,11.229999542236328,22.280000686645508,130.80999755859375,11.489999771118164,26.06999969482422,,,1.1784348,22.0,100.34,50,,,0.0
25.08.2025 18:15:12,Øystein,,,5-Hybrid,127.87189770248183,-0.55,2.65,9.32,6.67,172.43986754127002,1.3485360789943384,10.779999732971191,7.980000019073486,4685.96728515625,-1904.6798095703125,5058.27001953125,Målt,22.1200008392334,11.260000228881836,122.93000030517578,16.670000076293945,35.25,140.7899932861328,17.6299991607666,42.650001525878906,,,1.1784348,22.0,100.34,50,,,0.0
